plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z,XPLOT,YPLOT,X,Y
211,36062,Sb,2.7,0.7,4.22,3.67,0,0,14.9,408659.6331000002,5337373.5657,408659.6660745157,5337374.264922912
211,36063,Sb,15.2,2.9,2.53,2.1,0,0,12.6,408659.6331000002,5337373.5657,408660.39344861824,5337376.364247834
211,36064,Sb,42.8,5.5,2.91,2.81,0,0,15.8,408659.6331000002,5337373.5657,408663.37002717366,5337377.601214255
211,36065,Sb,15,6.3,3.33,3.23,0,0,13.4,408659.6331000002,5337373.5657,408661.26365998434,5337379.651032706
211,36066,Bw,14.9,6.6,3.05,2.27,0,0,8,408659.6331000002,5337373.5657,408661.330176435,5337379.943782124
211,36068,Sb,17.8,8.1,3.01,2.53,0,0,8.3,408659.6331000002,5337373.5657,408662.1092319704,5337381.2779480815
211,36069,Sb,41.7,7.8,2.55,1.91,0,0,11.7,408659.6331000002,5337373.5657,408664.8218967665,5337379.389477822
211,36070,Bw,42.5,9.7,3.9,3.02,0,0,11.2,408659.6331000002,5337373.5657,408666.1863250141,5337380.717290167
211,36071,Sb,33.9,8.5,2.4,2.49,0,0,12.5,408659.6331000002,5337373.5657,408664.3739334265,5337380.6208044235
211,36072,Sb,35,8.7,2.21,1.56,0,0,8.3,408659.6331000002,5337373.5657,408664.6232149965,5337380.692322785
211,36073,Sb,35.2,11.2,1.93,2.48,0,0,11.2,408659.6331000002,5337373.5657,408666.08914194134,5337382.717722861
211,36074,Sb,52.7,3.6,2.46,2.6,0,0,12.2,408659.6331000002,5337373.5657,408662.4968045313,5337375.747258241
211,36075,Sb,65.5,4.4,3.01,3,0,0,12.8,408659.6331000002,5337373.5657,408663.63692959206,5337375.390350268
211,36076,Sb,53.2,5.3,2.12,2.08,0,0,13.4,408659.6331000002,5337373.5657,408663.8769762662,5337376.740525072
211,36077,Sb,70.1,5.3,2.66,2.9,0,0,10.4,408659.6331000002,5337373.5657,408664.6166270734,5337375.369711616
211,36078,Sb,54.8,6.9,2.45,2.11,0,0,12.1,408659.6331000002,5337373.5657,408665.27139979874,5337377.543082981
211,36079,Bw,48.6,7.1,4.35,4.8,0,0,9.7,408659.6331000002,5337373.5657,408664.9588885946,5337378.261014244
211,36080,Sb,58.8,9.7,3.83,2.8,0,0,13.5,408659.6331000002,5337373.5657,408667.93013332377,5337378.590561991
211,36081,Sb,57.5,9.2,4.91,5.02,0,0,17.3,408659.6331000002,5337373.5657,408667.3923013017,5337378.508856397
211,36082,Bw,80.6,6.6,5.33,4.3,0,0,13.3,408659.6331000002,5337373.5657,408666.1444762668,5337374.643651351
211,36083,Sb,69,8.9,1.67,1.55,0,0,9.6,408659.6331000002,5337373.5657,408667.94196579605,5337376.755174751
211,36084,Sb,75.6,9.6,2.5,3.17,0,0,10.8,408659.6331000002,5337373.5657,408668.931498347,5337375.953122917
211,36085,Sb,82.1,10.01,4.2,4.55,0,0,19.7,408659.6331000002,5337373.5657,408669.54809972725,5337374.941519906
211,36086,Sb,78.3,9.52,3.15,2.29,0,0,10.9,408659.6331000002,5337373.5657,408668.9553011573,5337375.496235052
211,36087,Sb,91.5,9.35,NA,NA,0,0,11,408659.6331000002,5337373.5657,408668.9798959887,5337373.320945534
211,36088,Sb,93.7,10.82,1.48,1.77,0,0,10.2,408659.6331000002,5337373.5657,408670.4305469899,5337372.867460425
211,36089,Sb,105.9,4.35,4.18,4.1,0,0,12.5,408659.6331000002,5337373.5657,408663.81667469675,5337372.3739773985
211,36090,Sb,125.8,7.8,3.11,2.39,0,0,14.7,408659.6331000002,5337373.5657,408665.95939778833,5337369.003030135
211,36091,Bw,118.5,7.36,4.7,4.02,0,0,10.8,408659.6331000002,5337373.5657,408666.1011939494,5337370.053811525
211,36092,Bf,108.2,8.12,3.39,2.84,0,0,6.2,408659.6331000002,5337373.5657,408667.3468730586,5337371.0295404615
211,36093,Sb,101,9.71,3.87,2.74,0,0,12.1,408659.6331000002,5337373.5657,408669.1646999515,5337371.712944655
211,36094,Bw,123.4,8.5,5.46,4.18,0,0,10.9,408659.6331000002,5337373.5657,408666.72930683795,5337368.88661371
211,36095,Sb,132.6,10.98,1.91,1.7,0,0,12.7,408659.6331000002,5337373.5657,408667.7154460168,5337366.133601853
211,36096,Sb,105.3,10.96,2.25,2.35,0,0,13.1,408659.6331000002,5337373.5657,408670.2046493065,5337370.673651372
211,36097,Bw,101.8,11.27,2.94,2.63,0,0,11,408659.6331000002,5337373.5657,408670.66493547155,5337371.261029496
211,36098,Sb,140.3,0.99,3.08,3.2,0,0,11.1,408659.6331000002,5337373.5657,408660.2654801395,5337372.8039944405
211,36099,Sb,183.7,3.91,4.33,3.71,0,0,14.6,408659.6331000002,5337373.5657,408659.38077867497,5337369.663849933
211,36100,Sb,176.3,4.25,3.88,2.21,0,0,11.6,408659.6331000002,5337373.5657,408659.9073623103,5337369.324558622
211,36101,Sb,166.8,4.85,2.71,1.51,0,0,11.5,408659.6331000002,5337373.5657,408660.74060172023,5337368.843842321
211,36102,Sb,156.9,5.47,3.64,1.91,0,0,14.8,408659.6331000002,5337373.5657,408661.77918402804,5337368.53427641
211,36103,Sb,157.2,5.72,2.61,1.73,0,0,14,408659.6331000002,5337373.5657,408661.8496891547,5337368.292642773
211,36104,Sb,136.8,5.95,2.66,2.75,0,0,15,408659.6331000002,5337373.5657,408663.70615528047,5337369.228336667
211,36105,Sb,143.8,6.84,4.3,2.88,0,0,15.9,408659.6331000002,5337373.5657,408663.67284276674,5337368.046091465
211,36106,Sb,145,7.5,4.13,3.79,0,0,16.4,408659.6331000002,5337373.5657,408663.9349232729,5337367.422059668
211,36107,Sw,140.1,9.33,1.45,0.92,0,0,6.6,408659.6331000002,5337373.5657,408665.61782506277,5337366.408049134
211,36108,Sb,136.8,10.18,2.78,2.04,0,0,11.3,408659.6331000002,5337373.5657,408666.6017895386,5337366.144799373
211,36109,Sb,161.8,8.9,4.07,3.58,0,0,15.1,408659.6331000002,5337373.5657,408662.412880775,5337365.110948741
211,36110,Sb,182.2,8.62,3.25,2.7,0,0,7.8,408659.6331000002,5337373.5657,408659.30219708587,5337364.9520536605
211,36111,Bw,228.2,6.45,8.7,6.63,0,0,14.8,408659.6331000002,5337373.5657,408654.82477980223,5337369.266565567
211,36112,Sb,230.5,7.42,2.69,1.88,0,0,12,408659.6331000002,5337373.5657,408653.9076455915,5337368.845999606
211,36113,Sb,236.2,8.04,3.96,3.71,0,0,16.3,408659.6331000002,5337373.5657,408652.9519848672,5337369.093083251
211,36114,Sb,231.9,8.39,2.5,2.13,0,0,15.5,408659.6331000002,5337373.5657,408653.03071516595,5337368.388769007
211,36115,Sw,221.5,8.42,2.61,1.84,0,0,12.3,408659.6331000002,5337373.5657,408654.05383919424,5337367.259492831
211,36116,Sb,215.4,10.99,NA,NA,0,0,13,408659.6331000002,5337373.5657,408653.26679991616,5337364.607445525
211,36117,Bf,210,10.89,3.98,3.53,0,0,8.2,408659.6331000002,5337373.5657,408654.1881000002,5337364.134683353
211,36118,Sb,191.5,10.76,4.61,4.22,0,0,14.6,408659.6331000002,5337373.5657,408657.48790102586,5337363.021710179
211,36119,Sb,288.9,3.26,3.88,3.08,0,0,11.4,408659.6331000002,5337373.5657,408656.54886173044,5337374.6216707835
211,36120,Sb,290.1,6.49,2.77,2.6,0,0,9.4,408659.6331000002,5337373.5657,408653.5383783041,5337375.796051418
211,36121,Sb,278.1,7.09,2.21,1.63,0,0,10.4,408659.6331000002,5337373.5657,408652.613832267,5337374.564689735
211,36122,Sb,279.1,7.6,1.59,2.69,0,0,15.8,408659.6331000002,5337373.5657,408652.12875506893,5337374.767701311
211,36123,Sb,272,8.16,4.29,4.6,0,0,15.1,408659.6331000002,5337373.5657,408651.4780708517,5337373.850479893
211,36124,Sb,265.9,10.04,3.21,3.47,0,0,12.2,408659.6331000002,5337373.5657,408649.6187945396,5337372.847865659
211,36125,Sb,268.5,10.35,4.05,3.29,0,0,13.4,408659.6331000002,5337373.5657,408649.2866466867,5337373.294768585
211,36126,Sb,305.5,1.97,4.17,2.51,0,0,11.7,408659.6331000002,5337373.5657,408658.02929242904,5337374.709684823
211,36127,Sb,300.1,2.72,2.82,2.63,0,0,10.7,408659.6331000002,5337373.5657,408657.27988813625,5337374.929809205
211,36128,Sb,305,5.02,3.2,3.48,0,0,14.4,408659.6331000002,5337373.5657,408655.52095673786,5337376.445053711
211,36129,Sb,321.7,5.17,3.14,3.05,0,0,12.7,408659.6331000002,5337373.5657,408656.42884240585,5337377.622993836
